,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh
6408,09-24 00:10:00,0.0,0.0,0.0,0.0,0.0,15.269375,3.84875,0.0,0.20458
6409,09-24 01:10:00,0.0,0.0,0.0,0.0,0.0,15.060625,4.004375,0.0,0.20458
6410,09-24 02:10:00,0.0,0.0,0.0,0.0,0.0,14.755625,4.1725,0.0,0.20458
6411,09-24 03:10:00,0.0,0.0,0.0,0.0,0.0,14.6675,4.2925,0.0,0.20458
6412,09-24 04:10:00,0.0,0.0,0.0,0.0,0.0,14.535,4.6293750000000005,0.0,0.20458
6413,09-24 05:10:00,0.0,0.0,0.0,0.0,0.0,14.41,4.774375,0.0,0.20458
6414,09-24 06:10:00,0.0,0.0,0.0,0.0,0.0,14.3125,4.921250000000001,0.0,0.20458
6415,09-24 07:10:00,0.0,0.0,0.0,0.0,0.0,14.0575,4.98625,0.0,0.20458
6416,09-24 08:10:00,518.40375,53.380625,71.184375,2.4006250000000002,11.57,14.433125,4.865625,0.0,0.20458
6417,09-24 09:10:00,1355.2125,147.9775,134.656875,5.0424999999999995,21.16,15.311875,4.784375,0.0,0.26706
6418,09-24 10:10:00,2095.54125,275.36625,159.478125,7.261875,29.76,16.275625,4.689375,0.0,0.26706
6419,09-24 11:10:00,2557.215,320.654375,218.65687499999999,9.08,36.7,17.223125,4.56875,0.0,0.26706
6420,09-24 12:10:00,3032.7825,433.3975,217.456875,10.475,38.56875,17.798125,4.865625,0.0,0.26706
6421,09-24 13:10:00,3089.38875,449.396875,218.9375,10.7775,42.29,18.17125,5.18625,0.0,0.26706
6422,09-24 14:10:00,2991.0975000000003,407.8775,233.58,10.525,39.92,18.436875,5.344375,0.0,0.26706
6423,09-24 15:10:00,2008.61625,238.200625,188.9,7.2768749999999995,32.353125,18.303125,5.244375,0.0,0.26706
6424,09-24 16:10:00,1910.115,243.07375,158.8125,6.51125,26.9,18.238125,5.23375,0.0,0.26706
6425,09-24 17:10:00,1270.1512500000001,158.520625,113.043125,4.378125,17.89,18.03125,5.263125,0.0,0.26706
6426,09-24 18:10:00,361.92,45.696875,49.423125,1.580625,8.08,17.6125,5.0131250000000005,0.0,0.26706
6427,09-24 19:10:00,0.0,0.0,0.0,0.0,0.0,16.731875,4.57375,0.0,0.26706
6428,09-24 20:10:00,0.0,0.0,0.0,0.0,0.0,15.965,4.37875,0.0,0.26706
6429,09-24 21:10:00,0.0,0.0,0.0,0.0,0.0,15.508125,4.258125,0.0,0.20458
6430,09-24 22:10:00,0.0,0.0,0.0,0.0,0.0,15.278125000000001,4.241875,0.0,0.20458
6431,09-24 23:10:00,0.0,0.0,0.0,0.0,0.0,14.911875,4.22875,0.0,0.20458
6432,09-25 00:10:00,0.0,0.0,0.0,0.0,0.0,14.56875,4.110625000000001,0.0,0.20458
6433,09-25 01:10:00,0.0,0.0,0.0,0.0,0.0,14.415,4.124375,0.0,0.20458
6434,09-25 02:10:00,0.0,0.0,0.0,0.0,0.0,14.20125,4.25875,0.0,0.20458
6435,09-25 03:10:00,0.0,0.0,0.0,0.0,0.0,14.02125,4.206875,0.0,0.20458
6436,09-25 04:10:00,0.0,0.0,0.0,0.0,0.0,13.789375,4.173125,0.0,0.20458
6437,09-25 05:10:00,0.0,0.0,0.0,0.0,0.0,13.625625,4.186875,0.0,0.20458
6438,09-25 06:10:00,0.0,0.0,0.0,0.0,0.0,13.509375,4.14375,0.0,0.20458
6439,09-25 07:10:00,0.0,0.0,0.0,0.0,0.0,13.319374999999999,4.064375,0.0,0.20458
6440,09-25 08:10:00,624.37875,79.265625,69.15125,2.67375,11.34,13.535625,4.1587499999999995,0.0,0.20458
6441,09-25 09:10:00,1613.62875,202.076875,131.375625,5.6475,20.9,14.501249999999999,4.297499999999999,0.0,0.26706
6442,09-25 10:10:00,2238.73125,304.654375,157.28,7.574375,29.47,15.554375,4.525625,0.0,0.26706
6443,09-25 11:10:00,2904.5099999999998,401.871875,209.456875,9.92625,36.38,16.41125,4.4018749999999995,0.0,0.26706
6444,09-25 12:10:00,3063.91875,458.806875,202.4775,10.5425,40.77,17.11125,4.573125,0.0,0.26706
6445,09-25 13:10:00,3276.2062499999997,484.441875,222.81687499999998,11.1725,41.9,17.689375000000002,4.7162500000000005,0.0,0.26706
6446,09-25 14:10:00,3117.97125,432.861875,232.03125,10.616875,39.52,17.945,4.9225,0.0,0.26706
6447,09-25 15:10:00,2649.91875,372.1475,188.27687500000002,8.814375,34.12,18.104375,5.1775,0.0,0.26706
6448,09-25 16:10:00,2139.78375,292.235625,154.07625000000002,6.9625,26.53,17.949375,5.326875,0.0,0.26706
6449,09-25 17:10:00,1281.285,158.5425,113.793125,4.341875,17.53,17.74125,5.18625,0.0,0.26706
6450,09-25 18:10:00,395.1825,53.015,50.138125,1.6225,7.73,17.17125,4.7675,0.0,0.26706
6451,09-25 19:10:00,0.0,0.0,0.0,0.0,0.0,16.259375,4.3531249999999995,0.0,0.26706
6452,09-25 20:10:00,0.0,0.0,0.0,0.0,0.0,15.352500000000001,4.224375,0.0,0.26706
6453,09-25 21:10:00,0.0,0.0,0.0,0.0,0.0,14.765625,4.1000000000000005,0.0,0.20458
6454,09-25 22:10:00,0.0,0.0,0.0,0.0,0.0,14.289375,3.96875,0.0,0.20458
6455,09-25 23:10:00,0.0,0.0,0.0,0.0,0.0,13.91375,3.848125,0.0,0.20458
