horizon_azimuth,horizon_elevation
0.0,1.9
7.5,1.9
15.0,1.9
22.5,1.9
30.0,1.9
37.5,0.4
45.0,0.4
52.5,0.4
60.0,0.4
67.5,0.4
75.0,0.4
82.5,0.4
90.0,0.4
97.5,0.4
105.0,0.4
112.5,0.4
120.0,1.1
127.5,1.1
135.0,1.1
142.5,1.1
150.0,1.1
157.5,1.1
165.0,1.1
172.5,0.8
180.0,0.8
187.5,0.8
195.0,1.5
202.5,1.5
210.0,1.5
217.5,3.8
225.0,3.8
232.5,3.8
240.0,3.8
247.5,3.8
255.0,3.8
262.5,3.8
270.0,3.8
277.5,3.8
285.0,3.8
292.5,3.8
300.0,3.8
307.5,3.8
315.0,3.8
322.5,3.8
330.0,1.9
337.5,1.9
345.0,1.9
352.5,1.9
